================================================================================
System Utilization Metrics
================================================================================


System-Wide Metrics:
--------------------------------------------------
  Time Step Used for Analysis: 1.00 μs
  Mean Per-Chiplet Compute Time Utilization (Method 1): 0.90 %
  Mean Per-Chiplet Activation Communication Time Utilization (Method 1): 0.17 %
  Mean Per-Chiplet Weight Loading Time Utilization (Method 1): 59.69 %
  Mean Per-Chiplet Combined Time Utilization (Method 1): 59.70 %

Total Compute Utilization (Method 1):
--------------------------------------------------
  Compute Time Based Utilization (Per Chiplet):

  +------------+-------------------------+----------------------+
  | Chiplet ID | Total Compute Time (μs) | Utilization (%)      |
  | 23         | 38112.90                      | 100.00             |
  | 24         | 18436.34                      | 53.12              |
  | 25         | 18436.34                      | 53.12              |
  | 26         | 18436.34                      | 53.12              |
  | 27         | 18436.34                      | 53.12              |
  | 28         | 18436.34                      | 53.12              |
  | 29         | 18436.34                      | 53.12              |
  | 30         | 18435.52                      | 53.12              |
  | 31         | 18436.34                      | 53.12              |
  | 32         | 18436.34                      | 53.12              |
  | 33         | 18436.34                      | 53.12              |
  | 34         | 18436.34                      | 53.12              |
  | 35         | 18436.34                      | 53.12              |
  | 36         | 18436.34                      | 53.12              |
  | 37         | 18436.34                      | 53.12              |
  | 38         | 18436.34                      | 53.12              |
  | 39         | 18434.46                      | 53.11              |
  | 41         | 18436.34                      | 53.12              |
  | 42         | 18436.34                      | 53.12              |
  | 43         | 18436.34                      | 53.12              |
  | 44         | 18436.34                      | 53.12              |
  | 45         | 18436.34                      | 53.12              |
  | 46         | 18436.34                      | 53.12              |
  | 47         | 18436.34                      | 53.12              |
  | 48         | 18434.46                      | 53.11              |
  | 51         | 18436.34                      | 53.12              |
  | 52         | 18436.34                      | 53.12              |
  | 53         | 18436.34                      | 53.12              |
  | 54         | 18436.34                      | 53.12              |
  | 55         | 18436.34                      | 53.12              |
  | 56         | 36871.86                      | 100.00             |
  | 62         | 18436.34                      | 53.12              |
  | 63         | 18436.34                      | 53.12              |
  | 64         | 18436.34                      | 53.12              |
  | 65         | 18435.52                      | 53.12              |
  | 73         | 18436.34                      | 53.12              |
  | 74         | 18435.52                      | 53.12              |
  +------------+-------------------------------+--------------------+
